Year,Model,Ecoregion,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_max
2019,8,14.5.1,ssp126,1,1,1
2020,8,14.5.1,ssp126,1,1,1
2021,8,14.5.1,ssp126,1,1,1
2022,8,14.5.1,ssp126,1,1,1
2023,8,14.5.1,ssp126,1,1,1
2024,8,14.5.1,ssp126,1,1,1
2025,8,14.5.1,ssp126,1,1,1
2026,8,14.5.1,ssp126,1,1,1
2027,8,14.5.1,ssp126,1,1,1
2028,8,14.5.1,ssp126,1,1,1
2029,8,14.5.1,ssp126,1,1,1
2030,8,14.5.1,ssp126,1,1,1
2031,8,14.5.1,ssp126,1,1,1
2032,8,14.5.1,ssp126,1,1,1
2033,8,14.5.1,ssp126,1,1,1
2034,8,14.5.1,ssp126,1,1,1
2035,8,14.5.1,ssp126,1,1,1
2036,8,14.5.1,ssp126,1,1,1
2037,8,14.5.1,ssp126,1,1,1
2038,8,14.5.1,ssp126,1,1,1
2039,8,14.5.1,ssp126,1,1,1
2040,8,14.5.1,ssp126,1,1,1
2041,8,14.5.1,ssp126,1,1,1
2042,8,14.5.1,ssp126,1,1,1
2043,8,14.5.1,ssp126,1,1,1
2044,8,14.5.1,ssp126,1,1,1
2045,8,14.5.1,ssp126,1,1,1
2046,8,14.5.1,ssp126,1,1,1
2047,8,14.5.1,ssp126,1,1,1
2048,8,14.5.1,ssp126,1,1,1
2049,8,14.5.1,ssp126,1,1,1
2050,8,14.5.1,ssp126,1,1,1
2051,8,14.5.1,ssp126,1,1,1
2052,8,14.5.1,ssp126,1,1,1
2053,8,14.5.1,ssp126,1,1,1
2054,8,14.5.1,ssp126,1,1,1
2055,8,14.5.1,ssp126,1,1,1
2056,8,14.5.1,ssp126,1,1,1
2057,8,14.5.1,ssp126,1,1,1
2058,8,14.5.1,ssp126,1,1,1
2059,8,14.5.1,ssp126,1,1,1
2060,8,14.5.1,ssp126,1,1,1
2061,8,14.5.1,ssp126,1,1,1
2062,8,14.5.1,ssp126,1,1,1
2063,8,14.5.1,ssp126,1,1,1
2064,8,14.5.1,ssp126,1,1,1
2065,8,14.5.1,ssp126,1,1,1
2066,8,14.5.1,ssp126,1,1,1
2067,8,14.5.1,ssp126,1,1,1
2068,8,14.5.1,ssp126,1,1,1
2069,8,14.5.1,ssp126,1,1,1
2070,8,14.5.1,ssp126,1,1,1
2071,8,14.5.1,ssp126,1,1,1
2072,8,14.5.1,ssp126,1,1,1
2073,8,14.5.1,ssp126,1,1,1
2074,8,14.5.1,ssp126,1,1,1
2075,8,14.5.1,ssp126,1,1,1
2076,8,14.5.1,ssp126,1,1,1
2077,8,14.5.1,ssp126,1,1,1
2078,8,14.5.1,ssp126,1,1,1
2079,8,14.5.1,ssp126,1,1,1
2080,8,14.5.1,ssp126,1,1,1
2081,8,14.5.1,ssp126,1,1,1
2082,8,14.5.1,ssp126,1,1,1
2083,8,14.5.1,ssp126,1,1,1
2084,8,14.5.1,ssp126,1,1,1
2085,8,14.5.1,ssp126,1,1,1
2086,8,14.5.1,ssp126,1,1,1
2087,8,14.5.1,ssp126,1,1,1
2088,8,14.5.1,ssp126,1,1,1
2089,8,14.5.1,ssp126,1,1,1
2090,8,14.5.1,ssp126,1,1,1
2091,8,14.5.1,ssp126,1,1,1
2092,8,14.5.1,ssp126,1,1,1
2093,8,14.5.1,ssp126,1,1,1
2094,8,14.5.1,ssp126,1,1,1
2095,8,14.5.1,ssp126,1,1,1
2096,8,14.5.1,ssp126,1,1,1
2097,8,14.5.1,ssp126,1,1,1
2098,8,14.5.1,ssp126,1,1,1
2099,8,14.5.1,ssp126,1,1,1
2016,8,14.5.2,ssp126,1,1,1
2017,8,14.5.2,ssp126,1,1,1
2018,8,14.5.2,ssp126,1,1,1
2019,8,14.5.2,ssp126,1,1,1
2020,8,14.5.2,ssp126,1,1,1
2021,8,14.5.2,ssp126,1,1,1
2022,8,14.5.2,ssp126,1,1,1
2023,8,14.5.2,ssp126,1,1,1
2024,8,14.5.2,ssp126,1,1,1
2025,8,14.5.2,ssp126,1,1,1
2026,8,14.5.2,ssp126,1,1,1
2027,8,14.5.2,ssp126,1,1,1
2028,8,14.5.2,ssp126,1,1,1
2029,8,14.5.2,ssp126,1,1,1
2030,8,14.5.2,ssp126,1,1,1
2031,8,14.5.2,ssp126,1,1,1
2032,8,14.5.2,ssp126,1,1,1
2033,8,14.5.2,ssp126,1,1,1
2034,8,14.5.2,ssp126,1,1,1
2035,8,14.5.2,ssp126,1,1,1
2036,8,14.5.2,ssp126,1,1,1
2037,8,14.5.2,ssp126,1,1,1
2038,8,14.5.2,ssp126,1,1,1
2039,8,14.5.2,ssp126,1,1,1
2040,8,14.5.2,ssp126,1,1,1
2041,8,14.5.2,ssp126,1,1,1
2042,8,14.5.2,ssp126,1,1,1
2043,8,14.5.2,ssp126,1,1,1
2044,8,14.5.2,ssp126,1,1,1
2045,8,14.5.2,ssp126,1,1,1
2046,8,14.5.2,ssp126,1,1,1
2047,8,14.5.2,ssp126,1,1,1
2048,8,14.5.2,ssp126,1,1,1
2049,8,14.5.2,ssp126,1,1,1
2050,8,14.5.2,ssp126,1,1,1
2051,8,14.5.2,ssp126,1,1,1
2052,8,14.5.2,ssp126,1,1,1
2053,8,14.5.2,ssp126,1,1,1
2054,8,14.5.2,ssp126,1,1,1
2055,8,14.5.2,ssp126,1,1,1
2056,8,14.5.2,ssp126,1,1,1
2057,8,14.5.2,ssp126,1,1,1
2058,8,14.5.2,ssp126,1,1,1
2059,8,14.5.2,ssp126,1,1,1
2060,8,14.5.2,ssp126,1,1,1
2061,8,14.5.2,ssp126,1,1,1
2062,8,14.5.2,ssp126,1,1,1
2063,8,14.5.2,ssp126,1,1,1
2064,8,14.5.2,ssp126,1,1,1
2065,8,14.5.2,ssp126,1,1,1
2066,8,14.5.2,ssp126,1,1,1
2067,8,14.5.2,ssp126,1,1,1
2068,8,14.5.2,ssp126,1,1,1
2069,8,14.5.2,ssp126,1,1,1
2070,8,14.5.2,ssp126,1,1,1
2071,8,14.5.2,ssp126,1,1,1
2072,8,14.5.2,ssp126,1,1,1
2073,8,14.5.2,ssp126,1,1,1
2074,8,14.5.2,ssp126,1,1,1
2075,8,14.5.2,ssp126,1,1,1
2076,8,14.5.2,ssp126,1,1,1
2077,8,14.5.2,ssp126,1,1,1
2078,8,14.5.2,ssp126,1,1,1
2079,8,14.5.2,ssp126,1,1,1
2080,8,14.5.2,ssp126,1,1,1
2081,8,14.5.2,ssp126,1,1,1
2082,8,14.5.2,ssp126,1,1,1
2083,8,14.5.2,ssp126,1,1,1
2084,8,14.5.2,ssp126,1,1,1
2085,8,14.5.2,ssp126,1,1,1
2086,8,14.5.2,ssp126,1,1,1
2087,8,14.5.2,ssp126,1,1,1
2088,8,14.5.2,ssp126,1,1,1
2089,8,14.5.2,ssp126,1,1,1
2090,8,14.5.2,ssp126,1,1,1
2091,8,14.5.2,ssp126,1,1,1
2092,8,14.5.2,ssp126,1,1,1
2093,8,14.5.2,ssp126,1,1,1
2094,8,14.5.2,ssp126,1,1,1
2095,8,14.5.2,ssp126,1,1,1
2096,8,14.5.2,ssp126,1,1,1
2097,8,14.5.2,ssp126,1,1,1
2098,8,14.5.2,ssp126,1,1,1
2099,8,14.5.2,ssp126,1,1,1
2016,8,14.6.1,ssp126,1,1,1
2017,8,14.6.1,ssp126,1,1,1
2018,8,14.6.1,ssp126,1,1,1
2019,8,14.6.1,ssp126,1,1,1
2020,8,14.6.1,ssp126,1,1,1
2021,8,14.6.1,ssp126,1,1,1
2022,8,14.6.1,ssp126,1,1,1
2023,8,14.6.1,ssp126,1,1,1
2024,8,14.6.1,ssp126,1,1,1
2025,8,14.6.1,ssp126,1,1,1
2026,8,14.6.1,ssp126,1,1,1
2027,8,14.6.1,ssp126,1,1,1
2028,8,14.6.1,ssp126,1,1,1
2029,8,14.6.1,ssp126,1,1,1
2030,8,14.6.1,ssp126,1,1,1
2031,8,14.6.1,ssp126,1,1,1
2032,8,14.6.1,ssp126,1,1,1
2033,8,14.6.1,ssp126,1,1,1
2034,8,14.6.1,ssp126,1,1,1
2035,8,14.6.1,ssp126,1,1,1
2036,8,14.6.1,ssp126,1,1,1
2037,8,14.6.1,ssp126,1,1,1
2038,8,14.6.1,ssp126,1,1,1
2039,8,14.6.1,ssp126,1,1,1
2040,8,14.6.1,ssp126,1,1,1
2041,8,14.6.1,ssp126,1,1,1
2042,8,14.6.1,ssp126,1,1,1
2043,8,14.6.1,ssp126,1,1,1
2044,8,14.6.1,ssp126,1,1,1
2045,8,14.6.1,ssp126,1,1,1
2046,8,14.6.1,ssp126,1,1,1
2047,8,14.6.1,ssp126,1,1,1
2048,8,14.6.1,ssp126,1,1,1
2049,8,14.6.1,ssp126,1,1,1
2050,8,14.6.1,ssp126,1,1,1
2051,8,14.6.1,ssp126,1,1,1
2052,8,14.6.1,ssp126,1,1,1
2053,8,14.6.1,ssp126,1,1,1
2054,8,14.6.1,ssp126,1,1,1
2055,8,14.6.1,ssp126,1,1,1
2056,8,14.6.1,ssp126,1,1,1
2057,8,14.6.1,ssp126,1,1,1
2058,8,14.6.1,ssp126,1,1,1
2059,8,14.6.1,ssp126,1,1,1
2060,8,14.6.1,ssp126,1,1,1
2061,8,14.6.1,ssp126,1,1,1
2062,8,14.6.1,ssp126,1,1,1
2063,8,14.6.1,ssp126,1,1,1
2064,8,14.6.1,ssp126,1,1,1
2065,8,14.6.1,ssp126,1,1,1
2066,8,14.6.1,ssp126,1,1,1
2067,8,14.6.1,ssp126,1,1,1
2068,8,14.6.1,ssp126,1,1,1
2069,8,14.6.1,ssp126,1,1,1
2070,8,14.6.1,ssp126,1,1,1
2071,8,14.6.1,ssp126,1,1,1
2072,8,14.6.1,ssp126,1,1,1
2073,8,14.6.1,ssp126,1,1,1
2074,8,14.6.1,ssp126,1,1,1
2075,8,14.6.1,ssp126,1,1,1
2076,8,14.6.1,ssp126,1,1,1
2077,8,14.6.1,ssp126,1,1,1
2078,8,14.6.1,ssp126,1,1,1
2079,8,14.6.1,ssp126,1,1,1
2080,8,14.6.1,ssp126,1,1,1
2081,8,14.6.1,ssp126,1,1,1
2082,8,14.6.1,ssp126,1,1,1
2083,8,14.6.1,ssp126,1,1,1
2084,8,14.6.1,ssp126,1,1,1
2085,8,14.6.1,ssp126,1,1,1
2086,8,14.6.1,ssp126,1,1,1
2087,8,14.6.1,ssp126,1,1,1
2088,8,14.6.1,ssp126,1,1,1
2089,8,14.6.1,ssp126,1,1,1
2090,8,14.6.1,ssp126,1,1,1
2091,8,14.6.1,ssp126,1,1,1
2092,8,14.6.1,ssp126,1,1,1
2093,8,14.6.1,ssp126,1,1,1
2094,8,14.6.1,ssp126,1,1,1
2095,8,14.6.1,ssp126,1,1,1
2096,8,14.6.1,ssp126,1,1,1
2097,8,14.6.1,ssp126,1,1,1
2098,8,14.6.1,ssp126,1,1,1
2099,8,14.6.1,ssp126,1,1,1
2016,8,15.1.1,ssp126,1,1,1
2017,8,15.1.1,ssp126,1,1,1
2018,8,15.1.1,ssp126,1,1,1
2019,8,15.1.1,ssp126,1,1,1
2020,8,15.1.1,ssp126,1,1,1
2021,8,15.1.1,ssp126,1,1,1
2022,8,15.1.1,ssp126,1,1,1
2023,8,15.1.1,ssp126,1,1,1
2024,8,15.1.1,ssp126,1,1,1
2025,8,15.1.1,ssp126,1,1,1
2026,8,15.1.1,ssp126,1,1,1
2027,8,15.1.1,ssp126,1,1,1
2028,8,15.1.1,ssp126,1,1,1
2029,8,15.1.1,ssp126,1,1,1
2030,8,15.1.1,ssp126,1,1,1
2031,8,15.1.1,ssp126,1,1,1
2032,8,15.1.1,ssp126,1,1,1
2033,8,15.1.1,ssp126,1,1,1
2034,8,15.1.1,ssp126,1,1,1
2035,8,15.1.1,ssp126,1,1,1
2036,8,15.1.1,ssp126,1,1,1
2037,8,15.1.1,ssp126,1,1,1
2038,8,15.1.1,ssp126,1,1,1
2039,8,15.1.1,ssp126,1,1,1
2040,8,15.1.1,ssp126,1,1,1
2041,8,15.1.1,ssp126,1,1,1
2042,8,15.1.1,ssp126,1,1,1
2043,8,15.1.1,ssp126,1,1,1
2044,8,15.1.1,ssp126,1,1,1
2045,8,15.1.1,ssp126,1,1,1
2046,8,15.1.1,ssp126,1,1,1
2047,8,15.1.1,ssp126,1,1,1
2048,8,15.1.1,ssp126,1,1,1
2049,8,15.1.1,ssp126,1,1,1
2050,8,15.1.1,ssp126,1,1,1
2051,8,15.1.1,ssp126,1,1,1
2052,8,15.1.1,ssp126,1,1,1
2053,8,15.1.1,ssp126,1,1,1
2054,8,15.1.1,ssp126,1,1,1
2055,8,15.1.1,ssp126,1,1,1
2056,8,15.1.1,ssp126,1,1,1
2057,8,15.1.1,ssp126,1,1,1
2058,8,15.1.1,ssp126,1,1,1
2059,8,15.1.1,ssp126,1,1,1
2060,8,15.1.1,ssp126,1,1,1
2061,8,15.1.1,ssp126,1,1,1
2062,8,15.1.1,ssp126,1,1,1
2063,8,15.1.1,ssp126,1,1,1
2064,8,15.1.1,ssp126,1,1,1
2065,8,15.1.1,ssp126,1,1,1
2066,8,15.1.1,ssp126,1,1,1
2067,8,15.1.1,ssp126,1,1,1
2068,8,15.1.1,ssp126,1,1,1
2069,8,15.1.1,ssp126,1,1,1
2070,8,15.1.1,ssp126,1,1,1
2071,8,15.1.1,ssp126,1,1,1
2072,8,15.1.1,ssp126,1,1,1
2073,8,15.1.1,ssp126,1,1,1
2074,8,15.1.1,ssp126,1,1,1
2075,8,15.1.1,ssp126,1,1,1
2076,8,15.1.1,ssp126,1,1,1
2077,8,15.1.1,ssp126,1,1,1
2078,8,15.1.1,ssp126,1,1,1
2079,8,15.1.1,ssp126,1,1,1
2080,8,15.1.1,ssp126,1,1,1
2081,8,15.1.1,ssp126,1,1,1
2082,8,15.1.1,ssp126,1,1,1
2083,8,15.1.1,ssp126,1,1,1
2084,8,15.1.1,ssp126,1,1,1
2085,8,15.1.1,ssp126,1,1,1
2086,8,15.1.1,ssp126,1,1,1
2087,8,15.1.1,ssp126,1,1,1
2088,8,15.1.1,ssp126,1,1,1
2089,8,15.1.1,ssp126,1,1,1
2090,8,15.1.1,ssp126,1,1,1
2091,8,15.1.1,ssp126,1,1,1
2092,8,15.1.1,ssp126,1,1,1
2093,8,15.1.1,ssp126,1,1,1
2094,8,15.1.1,ssp126,1,1,1
2095,8,15.1.1,ssp126,1,1,1
2096,8,15.1.1,ssp126,1,1,1
2097,8,15.1.1,ssp126,1,1,1
2098,8,15.1.1,ssp126,1,1,1
2099,8,15.1.1,ssp126,1,1,1
2016,8,15.1.2,ssp126,1,1,1
2017,8,15.1.2,ssp126,1,1,1
2018,8,15.1.2,ssp126,1,1,1
2019,8,15.1.2,ssp126,1,1,1
2020,8,15.1.2,ssp126,1,1,1
2021,8,15.1.2,ssp126,1,1,1
2022,8,15.1.2,ssp126,1,1,1
2023,8,15.1.2,ssp126,1,1,1
2024,8,15.1.2,ssp126,1,1,1
2025,8,15.1.2,ssp126,1,1,1
2026,8,15.1.2,ssp126,1,1,1
2027,8,15.1.2,ssp126,1,1,1
2028,8,15.1.2,ssp126,1,1,1
2029,8,15.1.2,ssp126,1,1,1
2030,8,15.1.2,ssp126,1,1,1
2031,8,15.1.2,ssp126,1,1,1
2032,8,15.1.2,ssp126,1,1,1
2033,8,15.1.2,ssp126,1,1,1
2034,8,15.1.2,ssp126,1,1,1
2035,8,15.1.2,ssp126,1,1,1
2036,8,15.1.2,ssp126,1,1,1
2037,8,15.1.2,ssp126,1,1,1
2038,8,15.1.2,ssp126,1,1,1
2039,8,15.1.2,ssp126,1,1,1
2040,8,15.1.2,ssp126,1,1,1
2041,8,15.1.2,ssp126,1,1,1
2042,8,15.1.2,ssp126,1,1,1
2043,8,15.1.2,ssp126,1,1,1
2044,8,15.1.2,ssp126,1,1,1
2045,8,15.1.2,ssp126,1,1,1
2046,8,15.1.2,ssp126,1,1,1
2047,8,15.1.2,ssp126,1,1,1
2048,8,15.1.2,ssp126,1,1,1
2049,8,15.1.2,ssp126,1,1,1
2050,8,15.1.2,ssp126,1,1,1
2051,8,15.1.2,ssp126,1,1,1
2052,8,15.1.2,ssp126,1,1,1
2053,8,15.1.2,ssp126,1,1,1
2054,8,15.1.2,ssp126,1,1,1
2055,8,15.1.2,ssp126,1,1,1
2056,8,15.1.2,ssp126,1,1,1
2057,8,15.1.2,ssp126,1,1,1
2058,8,15.1.2,ssp126,1,1,1
2059,8,15.1.2,ssp126,1,1,1
2060,8,15.1.2,ssp126,1,1,1
2061,8,15.1.2,ssp126,1,1,1
2062,8,15.1.2,ssp126,1,1,1
2063,8,15.1.2,ssp126,1,1,1
2064,8,15.1.2,ssp126,1,1,1
2065,8,15.1.2,ssp126,1,1,1
2066,8,15.1.2,ssp126,1,1,1
2067,8,15.1.2,ssp126,1,1,1
2068,8,15.1.2,ssp126,1,1,1
2069,8,15.1.2,ssp126,1,1,1
2070,8,15.1.2,ssp126,1,1,1
2071,8,15.1.2,ssp126,1,1,1
2072,8,15.1.2,ssp126,1,1,1
2073,8,15.1.2,ssp126,1,1,1
2074,8,15.1.2,ssp126,1,1,1
2075,8,15.1.2,ssp126,1,1,1
2076,8,15.1.2,ssp126,1,1,1
2077,8,15.1.2,ssp126,1,1,1
2078,8,15.1.2,ssp126,1,1,1
2079,8,15.1.2,ssp126,1,1,1
2080,8,15.1.2,ssp126,1,1,1
2081,8,15.1.2,ssp126,1,1,1
2082,8,15.1.2,ssp126,1,1,1
2083,8,15.1.2,ssp126,1,1,1
2084,8,15.1.2,ssp126,1,1,1
2085,8,15.1.2,ssp126,1,1,1
2086,8,15.1.2,ssp126,1,1,1
2087,8,15.1.2,ssp126,1,1,1
2088,8,15.1.2,ssp126,1,1,1
2089,8,15.1.2,ssp126,1,1,1
2090,8,15.1.2,ssp126,1,1,1
2091,8,15.1.2,ssp126,1,1,1
2092,8,15.1.2,ssp126,1,1,1
2093,8,15.1.2,ssp126,1,1,1
2094,8,15.1.2,ssp126,1,1,1
2095,8,15.1.2,ssp126,1,1,1
2096,8,15.1.2,ssp126,1,1,1
2097,8,15.1.2,ssp126,1,1,1
2098,8,15.1.2,ssp126,1,1,1
2099,8,15.1.2,ssp126,1,1,1
2016,8,15.2.1,ssp126,1,1,1
2017,8,15.2.1,ssp126,1,1,1
2018,8,15.2.1,ssp126,1,1,1
2019,8,15.2.1,ssp126,1,1,1
2020,8,15.2.1,ssp126,1,1,1
2021,8,15.2.1,ssp126,1,1,1
2022,8,15.2.1,ssp126,1,1,1
2023,8,15.2.1,ssp126,1,1,1
2024,8,15.2.1,ssp126,1,1,1
2025,8,15.2.1,ssp126,1,1,1
2026,8,15.2.1,ssp126,1,1,1
2027,8,15.2.1,ssp126,1,1,1
2028,8,15.2.1,ssp126,1,1,1
2029,8,15.2.1,ssp126,1,1,1
2030,8,15.2.1,ssp126,1,1,1
2031,8,15.2.1,ssp126,1,1,1
2032,8,15.2.1,ssp126,1,1,1
2033,8,15.2.1,ssp126,1,1,1
2034,8,15.2.1,ssp126,1,1,1
2035,8,15.2.1,ssp126,1,1,1
2036,8,15.2.1,ssp126,1,1,1
2037,8,15.2.1,ssp126,1,1,1
2038,8,15.2.1,ssp126,1,1,1
2039,8,15.2.1,ssp126,1,1,1
2040,8,15.2.1,ssp126,1,1,1
2041,8,15.2.1,ssp126,1,1,1
2042,8,15.2.1,ssp126,1,1,1
2043,8,15.2.1,ssp126,1,1,1
2044,8,15.2.1,ssp126,1,1,1
2045,8,15.2.1,ssp126,1,1,1
2046,8,15.2.1,ssp126,1,1,1
2047,8,15.2.1,ssp126,1,1,1
2048,8,15.2.1,ssp126,1,1,1
2049,8,15.2.1,ssp126,1,1,1
2050,8,15.2.1,ssp126,1,1,1
2051,8,15.2.1,ssp126,1,1,1
2052,8,15.2.1,ssp126,1,1,1
2053,8,15.2.1,ssp126,1,1,1
2054,8,15.2.1,ssp126,1,1,1
2055,8,15.2.1,ssp126,1,1,1
2056,8,15.2.1,ssp126,1,1,1
2057,8,15.2.1,ssp126,1,1,1
2058,8,15.2.1,ssp126,1,1,1
2059,8,15.2.1,ssp126,1,1,1
2060,8,15.2.1,ssp126,1,1,1
2061,8,15.2.1,ssp126,1,1,1
2062,8,15.2.1,ssp126,1,1,1
2063,8,15.2.1,ssp126,1,1,1
2064,8,15.2.1,ssp126,1,1,1
2065,8,15.2.1,ssp126,1,1,1
2066,8,15.2.1,ssp126,1,1,1
2067,8,15.2.1,ssp126,1,1,1
2068,8,15.2.1,ssp126,1,1,1
2069,8,15.2.1,ssp126,1,1,1
2070,8,15.2.1,ssp126,1,1,1
2071,8,15.2.1,ssp126,1,1,1
2072,8,15.2.1,ssp126,1,1,1
2073,8,15.2.1,ssp126,1,1,1
2074,8,15.2.1,ssp126,1,1,1
2075,8,15.2.1,ssp126,1,1,1
2076,8,15.2.1,ssp126,1,1,1
2077,8,15.2.1,ssp126,1,1,1
2078,8,15.2.1,ssp126,1,1,1
2079,8,15.2.1,ssp126,1,1,1
2080,8,15.2.1,ssp126,1,1,1
2081,8,15.2.1,ssp126,1,1,1
2082,8,15.2.1,ssp126,1,1,1
2083,8,15.2.1,ssp126,1,1,1
2084,8,15.2.1,ssp126,1,1,1
2085,8,15.2.1,ssp126,1,1,1
2086,8,15.2.1,ssp126,1,1,1
2087,8,15.2.1,ssp126,1,1,1
2088,8,15.2.1,ssp126,1,1,1
2089,8,15.2.1,ssp126,1,1,1
2090,8,15.2.1,ssp126,1,1,1
2091,8,15.2.1,ssp126,1,1,1
2092,8,15.2.1,ssp126,1,1,1
2093,8,15.2.1,ssp126,1,1,1
2094,8,15.2.1,ssp126,1,1,1
2095,8,15.2.1,ssp126,1,1,1
2096,8,15.2.1,ssp126,1,1,1
2097,8,15.2.1,ssp126,1,1,1
2098,8,15.2.1,ssp126,1,1,1
2099,8,15.2.1,ssp126,1,1,1
2016,8,15.2.2,ssp126,1,1,1
2017,8,15.2.2,ssp126,1,1,1
2018,8,15.2.2,ssp126,1,1,1
2019,8,15.2.2,ssp126,1,1,1
2020,8,15.2.2,ssp126,1,1,1
2021,8,15.2.2,ssp126,1,1,1
2022,8,15.2.2,ssp126,1,1,1
2023,8,15.2.2,ssp126,1,1,1
2024,8,15.2.2,ssp126,1,1,1
2025,8,15.2.2,ssp126,1,1,1
2026,8,15.2.2,ssp126,1,1,1
2027,8,15.2.2,ssp126,1,1,1
2028,8,15.2.2,ssp126,1,1,1
2029,8,15.2.2,ssp126,1,1,1
2030,8,15.2.2,ssp126,1,1,1
2031,8,15.2.2,ssp126,1,1,1
2032,8,15.2.2,ssp126,1,1,1
2033,8,15.2.2,ssp126,1,1,1
2034,8,15.2.2,ssp126,1,1,1
2035,8,15.2.2,ssp126,1,1,1
2036,8,15.2.2,ssp126,1,1,1
2037,8,15.2.2,ssp126,1,1,1
2038,8,15.2.2,ssp126,1,1,1
2039,8,15.2.2,ssp126,1,1,1
2040,8,15.2.2,ssp126,1,1,1
2041,8,15.2.2,ssp126,1,1,1
2042,8,15.2.2,ssp126,1,1,1
2043,8,15.2.2,ssp126,1,1,1
2044,8,15.2.2,ssp126,1,1,1
2045,8,15.2.2,ssp126,1,1,1
2046,8,15.2.2,ssp126,1,1,1
2047,8,15.2.2,ssp126,1,1,1
2048,8,15.2.2,ssp126,1,1,1
2049,8,15.2.2,ssp126,1,1,1
2050,8,15.2.2,ssp126,1,1,1
2051,8,15.2.2,ssp126,1,1,1
2052,8,15.2.2,ssp126,1,1,1
2053,8,15.2.2,ssp126,1,1,1
2054,8,15.2.2,ssp126,1,1,1
2055,8,15.2.2,ssp126,1,1,1
2056,8,15.2.2,ssp126,1,1,1
2057,8,15.2.2,ssp126,1,1,1
2058,8,15.2.2,ssp126,1,1,1
2059,8,15.2.2,ssp126,1,1,1
2060,8,15.2.2,ssp126,1,1,1
2061,8,15.2.2,ssp126,1,1,1
2062,8,15.2.2,ssp126,1,1,1
2063,8,15.2.2,ssp126,1,1,1
2064,8,15.2.2,ssp126,1,1,1
2065,8,15.2.2,ssp126,1,1,1
2066,8,15.2.2,ssp126,1,1,1
2067,8,15.2.2,ssp126,1,1,1
2068,8,15.2.2,ssp126,1,1,1
2069,8,15.2.2,ssp126,1,1,1
2070,8,15.2.2,ssp126,1,1,1
2071,8,15.2.2,ssp126,1,1,1
2072,8,15.2.2,ssp126,1,1,1
2073,8,15.2.2,ssp126,1,1,1
2074,8,15.2.2,ssp126,1,1,1
2075,8,15.2.2,ssp126,1,1,1
2076,8,15.2.2,ssp126,1,1,1
2077,8,15.2.2,ssp126,1,1,1
2078,8,15.2.2,ssp126,1,1,1
2079,8,15.2.2,ssp126,1,1,1
2080,8,15.2.2,ssp126,1,1,1
2081,8,15.2.2,ssp126,1,1,1
2082,8,15.2.2,ssp126,1,1,1
2083,8,15.2.2,ssp126,1,1,1
2084,8,15.2.2,ssp126,1,1,1
2085,8,15.2.2,ssp126,1,1,1
2086,8,15.2.2,ssp126,1,1,1
2087,8,15.2.2,ssp126,1,1,1
2088,8,15.2.2,ssp126,1,1,1
2089,8,15.2.2,ssp126,1,1,1
2090,8,15.2.2,ssp126,1,1,1
2091,8,15.2.2,ssp126,1,1,1
2092,8,15.2.2,ssp126,1,1,1
2093,8,15.2.2,ssp126,1,1,1
2094,8,15.2.2,ssp126,1,1,1
2095,8,15.2.2,ssp126,1,1,1
2096,8,15.2.2,ssp126,1,1,1
2097,8,15.2.2,ssp126,1,1,1
2098,8,15.2.2,ssp126,1,1,1
2099,8,15.2.2,ssp126,1,1,1
2016,8,15.2.3,ssp126,1,1,1
2017,8,15.2.3,ssp126,1,1,1
2018,8,15.2.3,ssp126,1,1,1
2019,8,15.2.3,ssp126,1,1,1
2020,8,15.2.3,ssp126,1,1,1
2021,8,15.2.3,ssp126,1,1,1
2022,8,15.2.3,ssp126,1,1,1
2023,8,15.2.3,ssp126,1,1,1
2024,8,15.2.3,ssp126,1,1,1
2025,8,15.2.3,ssp126,1,1,1
2026,8,15.2.3,ssp126,1,1,1
2027,8,15.2.3,ssp126,1,1,1
2028,8,15.2.3,ssp126,1,1,1
2029,8,15.2.3,ssp126,1,1,1
2030,8,15.2.3,ssp126,1,1,1
2031,8,15.2.3,ssp126,1,1,1
2032,8,15.2.3,ssp126,1,1,1
2033,8,15.2.3,ssp126,1,1,1
2034,8,15.2.3,ssp126,1,1,1
2035,8,15.2.3,ssp126,1,1,1
2036,8,15.2.3,ssp126,1,1,1
2037,8,15.2.3,ssp126,1,1,1
2038,8,15.2.3,ssp126,1,1,1
2039,8,15.2.3,ssp126,1,1,1
2040,8,15.2.3,ssp126,1,1,1
2041,8,15.2.3,ssp126,1,1,1
2042,8,15.2.3,ssp126,1,1,1
2043,8,15.2.3,ssp126,1,1,1
2044,8,15.2.3,ssp126,1,1,1
2045,8,15.2.3,ssp126,1,1,1
2046,8,15.2.3,ssp126,1,1,1
2047,8,15.2.3,ssp126,1,1,1
2048,8,15.2.3,ssp126,1,1,1
2049,8,15.2.3,ssp126,1,1,1
2050,8,15.2.3,ssp126,1,1,1
2051,8,15.2.3,ssp126,1,1,1
2052,8,15.2.3,ssp126,1,1,1
2053,8,15.2.3,ssp126,1,1,1
2054,8,15.2.3,ssp126,1,1,1
2055,8,15.2.3,ssp126,1,1,1
2056,8,15.2.3,ssp126,1,1,1
2057,8,15.2.3,ssp126,1,1,1
2058,8,15.2.3,ssp126,1,1,1
2059,8,15.2.3,ssp126,1,1,1
2060,8,15.2.3,ssp126,1,1,1
2061,8,15.2.3,ssp126,1,1,1
2062,8,15.2.3,ssp126,1,1,1
2063,8,15.2.3,ssp126,1,1,1
2064,8,15.2.3,ssp126,1,1,1
